municipio;distrito;tipo;caminho_relativo;url;motivo
Crato;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Crato/OSM_gis_osm_places_a_free_1_Crato.zip;http://localhost:8000/data/Portalegre/Crato/OSM_gis_osm_places_a_free_1_Crato.zip;HTTP 404
Crato;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Crato/OSM_gis_osm_protected_areas_a_free_1_Crato.zip;http://localhost:8000/data/Portalegre/Crato/OSM_gis_osm_protected_areas_a_free_1_Crato.zip;HTTP 404
Elvas;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Elvas/OSM_gis_osm_natural_a_free_1_Elvas.zip;http://localhost:8000/data/Portalegre/Elvas/OSM_gis_osm_natural_a_free_1_Elvas.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Fronteira/OSM_gis_osm_natural_a_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_natural_a_free_1_Fronteira.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Fronteira/OSM_gis_osm_places_a_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_places_a_free_1_Fronteira.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Fronteira/OSM_gis_osm_railways_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_railways_free_1_Fronteira.zip;HTTP 404
Gavião;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Gavião/OSM_gis_osm_places_a_free_1_Gavião.zip;http://localhost:8000/data/Portalegre/Gavi%C3%A3o/OSM_gis_osm_places_a_free_1_Gavi%C3%A3o.zip;HTTP 404
Gavião;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Gavião/OSM_gis_osm_protected_areas_a_free_1_Gavião.zip;http://localhost:8000/data/Portalegre/Gavi%C3%A3o/OSM_gis_osm_protected_areas_a_free_1_Gavi%C3%A3o.zip;HTTP 404
Marvão;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Marvão/OSM_gis_osm_places_a_free_1_Marvão.zip;http://localhost:8000/data/Portalegre/Marv%C3%A3o/OSM_gis_osm_places_a_free_1_Marv%C3%A3o.zip;HTTP 404
Marvão;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Marvão/OSM_gis_osm_railways_free_1_Marvão.zip;http://localhost:8000/data/Portalegre/Marv%C3%A3o/OSM_gis_osm_railways_free_1_Marv%C3%A3o.zip;HTTP 404
